Material,Type,Shape,Coat/Functional Group,Synthesis_Method,Surface_Charge,Cell_Type,Cell_Tissue,Cell_Morphology,Cell_Age,Cell Line_Primary Cell,Test,Test_Indicator,Concentration (ug/ml),No_of_Cells (cells/well),Time (hr),Cell_Viability (%)
Bi,I,Sphere,PEG,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,48,66.173
Bi,I,Sphere,PEG,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,72,54.815
Bi,I,Sphere,PEG,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,96,46.173
Bi,I,Sphere,PEG,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,12,95.021
Bi,I,Sphere,PEG,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,24,91.425
Bi,I,Sphere,PEG,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,48,77.87
Bi,I,Sphere,PEG,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,72,66.667
Bi,I,Sphere,PEG,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,96,54.08
Au,I,Sphere,None,Chemical Reduction,Positive,BEC,Lung,Epithelial,Adult,P,MTS,TetrazoliumSalt,,15000,24,28.349
Au,I,Sphere,None,Chemical Reduction,Positive,ASM,Lung,Spindle,Adult,P,MTS,TetrazoliumSalt,,15000,24,54.984
Au,I,Sphere,None,Chemical Reduction,Positive,BEC,Lung,Epithelial,Adult,P,MTS,TetrazoliumSalt,,15000,24,24.611
Au,I,Sphere,None,Chemical Reduction,Positive,ASM,Lung,Spindle,Adult,P,MTS,TetrazoliumSalt,,15000,24,30.218
Au,I,Sphere,None,Chemical Reduction,Positive,BEC,Lung,Epithelial,Adult,P,MTS,TetrazoliumSalt,,15000,24,21.028
Au,I,Sphere,None,Chemical Reduction,Positive,ASM,Lung,Spindle,Adult,P,MTS,TetrazoliumSalt,,15000,24,19.938
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,5,10000,24,88.421
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,5,10000,30,78.421
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,5,10000,48,39.737
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,10,10000,24,68.158
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,10,10000,30,49.737
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,10,10000,48,24.474
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,25,10000,24,33.947
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,25,10000,30,5.5263
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,25,10000,48,4.2105
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,50,10000,24,20.526
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,50,10000,30,0.26316
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,50,10000,48,2.6316
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,100,10000,24,10.789
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,100,10000,30,0.26316
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,100,10000,48,2.3684
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,5,10000,24,107.42
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,5,10000,30,98.516
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,5,10000,48,96.142
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,10,10000,24,101.09
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,10,10000,30,90.603
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,10,10000,48,64.491
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,25,10000,24,93.966
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,25,10000,30,80.91
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,25,10000,48,43.323
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,50,10000,24,72.601
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,50,10000,30,54.797
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,50,10000,48,26.706
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,100,10000,24,43.323
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,100,10000,30,26.706
Ag,I,Sphere,CKK,Precipitation,,Caco-2,Colon,Epithelial,Adult,L,CellTiterBlue,AlamarBlue,100,10000,48,5.9347
IronOxide,I,Sphere,None,Precipitation,,A549,Lung,Epithelial,Adult,L,MTT,TetrazoliumSalt,10,10000,24,84
IronOxide,I,Sphere,None,Precipitation,,A549,Lung,Epithelial,Adult,L,MTT,TetrazoliumSalt,25,10000,24,72
IronOxide,I,Sphere,None,Precipitation,,A549,Lung,Epithelial,Adult,L,MTT,TetrazoliumSalt,50,10000,24,56
IronOxide,I,Sphere,None,Precipitation,,A549,Lung,Epithelial,Adult,L,NRU,NeutralRed,10,10000,24,87
IronOxide,I,Sphere,None,Precipitation,,A549,Lung,Epithelial,Adult,L,NRU,NeutralRed,25,10000,24,79
IronOxide,I,Sphere,None,Precipitation,,A549,Lung,Epithelial,Adult,L,NRU,NeutralRed,50,10000,24,65
Ag,I,Sphere,None,Chemical Reduction,Negative,KEC,Skin,Epithelial,Adult,P,MTS,TetrazoliumSalt,1.35,20000,24,84.91
Ag,I,Sphere,None,Chemical Reduction,Negative,KEC,Skin,Epithelial,Adult,P,MTS,TetrazoliumSalt,2.7,20000,24,82.481
Ag,I,Sphere,None,Chemical Reduction,Negative,KEC,Skin,Epithelial,Adult,P,MTS,TetrazoliumSalt,5.39,20000,24,77.621
Ag,I,Sphere,None,Chemical Reduction,Negative,KEC,Skin,Epithelial,Adult,P,MTS,TetrazoliumSalt,13.48,20000,24,27.621
Ag,I,Sphere,None,Chemical Reduction,Negative,KEC,Skin,Epithelial,Adult,P,MTS,TetrazoliumSalt,1.35,20000,48,86.189
Ag,I,Sphere,None,Chemical Reduction,Negative,KEC,Skin,Epithelial,Adult,P,MTS,TetrazoliumSalt,2.7,20000,48,85.55
Ag,I,Sphere,None,Chemical Reduction,Negative,KEC,Skin,Epithelial,Adult,P,MTS,TetrazoliumSalt,5.39,20000,48,84.655
Ag,I,Sphere,None,Chemical Reduction,Negative,KEC,Skin,Epithelial,Adult,P,MTS,TetrazoliumSalt,13.48,20000,48,8.0563
Ag,I,Sphere,PVP,Chemical Reduction,Negative,KEC,Skin,Epithelial,Adult,P,MTS,TetrazoliumSalt,1.35,20000,24,102.89
Ag,I,Sphere,PVP,Chemical Reduction,Negative,KEC,Skin,Epithelial,Adult,P,MTS,TetrazoliumSalt,2.7,20000,24,95.921
Ag,I,Sphere,PVP,Chemical Reduction,Negative,KEC,Skin,Epithelial,Adult,P,MTS,TetrazoliumSalt,5.39,20000,24,75.395
Ag,I,Sphere,PVP,Chemical Reduction,Negative,KEC,Skin,Epithelial,Adult,P,MTS,TetrazoliumSalt,13.48,20000,24,17.895
Ag,I,Sphere,PVP,Chemical Reduction,Negative,KEC,Skin,Epithelial,Adult,P,MTS,TetrazoliumSalt,1.35,20000,48,102.89
Ag,I,Sphere,PVP,Chemical Reduction,Negative,KEC,Skin,Epithelial,Adult,P,MTS,TetrazoliumSalt,2.7,20000,48,77.632
Ag,I,Sphere,PVP,Chemical Reduction,Negative,KEC,Skin,Epithelial,Adult,P,MTS,TetrazoliumSalt,5.39,20000,48,32.763
Ag,I,Sphere,PVP,Chemical Reduction,Negative,KEC,Skin,Epithelial,Adult,P,MTS,TetrazoliumSalt,13.48,20000,48,5.3947
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,MTT,TetrazoliumSalt,0.008,10000,6,99.883
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,MTT,TetrazoliumSalt,0.08,10000,6,98.659
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,MTT,TetrazoliumSalt,0.8,10000,6,96.91
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,MTT,TetrazoliumSalt,8,10000,6,95.335
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,MTT,TetrazoliumSalt,80,10000,6,93.061
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,MTT,TetrazoliumSalt,0.008,10000,24,98.659
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,MTT,TetrazoliumSalt,0.08,10000,24,99.883
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,MTT,TetrazoliumSalt,0.8,10000,24,88.338
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,MTT,TetrazoliumSalt,8,10000,24,83.44
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,MTT,TetrazoliumSalt,80,10000,24,80.466
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,MTT,TetrazoliumSalt,0.008,10000,48,97.609
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,MTT,TetrazoliumSalt,0.08,10000,48,96.385
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,MTT,TetrazoliumSalt,0.8,10000,48,85.015
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,MTT,TetrazoliumSalt,8,10000,48,74.169
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,MTT,TetrazoliumSalt,80,10000,48,68.222
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,NRU,NeutralRed,0.008,10000,6,98.754
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,NRU,NeutralRed,0.08,10000,6,99.344
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,NRU,NeutralRed,0.8,10000,6,92.262
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,NRU,NeutralRed,8,10000,6,91.672
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,NRU,NeutralRed,80,10000,6,90.295
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,NRU,NeutralRed,0.008,10000,24,97.574
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,NRU,NeutralRed,0.08,10000,24,93.836
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,NRU,NeutralRed,0.8,10000,24,88.328
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,NRU,NeutralRed,8,10000,24,85.377
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,NRU,NeutralRed,80,10000,24,77.508
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,NRU,NeutralRed,0.008,10000,48,97.574
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,NRU,NeutralRed,0.08,10000,48,93.049
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,NRU,NeutralRed,0.8,10000,48,85.77
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,NRU,NeutralRed,8,10000,48,74.951
TiO2,I,Irregular,None,Commercial,Negative,A431,Skin,Epithelial,Adult,L,NRU,NeutralRed,80,10000,48,65.311
Au,I,Sphere,PEG,Chemical Reduction,Negative,HUVEC,Umbilical Vein,Endothelial,Embryonic,P,MTT,TetrazoliumSalt,,50000,24,94.934
Au,I,Sphere,PEG,Chemical Reduction,Negative,HUVEC,Umbilical Vein,Endothelial,Embryonic,P,MTT,TetrazoliumSalt,,50000,24,96.807
Au,I,Sphere,PEG,Chemical Reduction,Negative,HUVEC,Umbilical Vein,Endothelial,Embryonic,P,MTT,TetrazoliumSalt,,50000,24,94.646
Au,I,Sphere,PEG,Chemical Reduction,Negative,HUVEC,Umbilical Vein,Endothelial,Embryonic,P,MTT,TetrazoliumSalt,,50000,24,91.909
Au,I,Sphere,PEG,Chemical Reduction,Negative,HUVEC,Umbilical Vein,Endothelial,Embryonic,P,MTT,TetrazoliumSalt,,50000,24,86.002
Au,I,Sphere,PEG,Chemical Reduction,Negative,HUVEC,Umbilical Vein,Endothelial,Embryonic,P,MTT,TetrazoliumSalt,,50000,24,72.029
Au,I,Sphere,PEG,Chemical Reduction,Negative,HUVEC,Umbilical Vein,Endothelial,Embryonic,P,MTT,TetrazoliumSalt,,50000,24,53.733
Dendrimer,O,Sphere,None,Commercial,Positive,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,PropidiumIodide,0.3,,1,98
Dendrimer,O,Sphere,None,Commercial,Positive,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,PropidiumIodide,1.7,,1,97.3
Dendrimer,O,Sphere,None,Commercial,Positive,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,PropidiumIodide,5,,1,97.2
Dendrimer,O,Sphere,None,Commercial,Positive,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,PropidiumIodide,1.4,,1,98
Dendrimer,O,Sphere,None,Commercial,Positive,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,PropidiumIodide,7.1,,1,97.2
Dendrimer,O,Sphere,None,Commercial,Positive,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,PropidiumIodide,21.3,,1,95.7
Dendrimer,O,Sphere,None,Commercial,Positive,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,PropidiumIodide,5.8,,1,97.6
Dendrimer,O,Sphere,None,Commercial,Positive,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,PropidiumIodide,29,,1,88.4
Dendrimer,O,Sphere,None,Commercial,Positive,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,PropidiumIodide,87,,1,67
Dendrimer,O,Sphere,Ac,Commercial,Positive,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,PropidiumIodide,6.1,,1,97.8
Dendrimer,O,Sphere,Ac,Commercial,Positive,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,PropidiumIodide,3.01,,1,95.5
Dendrimer,O,Sphere,Ac,Commercial,Positive,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,PropidiumIodide,92,,1,94.2
Dendrimer,O,Sphere,C12,Commercial,Neutral,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,PropidiumIodide,2,,1,97
